"","region","codigo_comuna","comuna","poblacion","semana","oportunidad_comuna","dia","oportunidad_region","oportunidad_pais"
"207","Araucanía",9117,"Teodoro Schmidt",15786,23,NA,2020-06-04,0.66,0.3
"208","Araucanía",9117,"Teodoro Schmidt",15786,24,1,2020-06-11,0.65,0.26
"209","Araucanía",9118,"Tolten",10055,17,NA,2020-04-23,0.56,0.72
"210","Araucanía",9118,"Tolten",10055,18,NA,2020-04-30,0.26,0.71
"211","Araucanía",9118,"Tolten",10055,19,NA,2020-05-07,0.65,0.63
"212","Araucanía",9118,"Tolten",10055,20,NA,2020-05-14,0.61,0.49
"213","Araucanía",9118,"Tolten",10055,21,0.67,2020-05-21,0.78,0.37
"214","Araucanía",9118,"Tolten",10055,22,1,2020-05-28,0.55,0.29
"215","Araucanía",9118,"Tolten",10055,23,NA,2020-06-04,0.66,0.3
"216","Araucanía",9118,"Tolten",10055,24,NA,2020-06-11,0.65,0.26
"217","Araucanía",9119,"Vilcun",30766,17,NA,2020-04-23,0.56,0.72
"218","Araucanía",9119,"Vilcun",30766,18,0,2020-04-30,0.26,0.71
"219","Araucanía",9119,"Vilcun",30766,19,0,2020-05-07,0.65,0.63
"220","Araucanía",9119,"Vilcun",30766,20,-0.5,2020-05-14,0.61,0.49
"221","Araucanía",9119,"Vilcun",30766,21,0.86,2020-05-21,0.78,0.37
"222","Araucanía",9119,"Vilcun",30766,22,0.38,2020-05-28,0.55,0.29
"223","Araucanía",9119,"Vilcun",30766,23,0.75,2020-06-04,0.66,0.3
"224","Araucanía",9119,"Vilcun",30766,24,0.5,2020-06-11,0.65,0.26
"225","Araucanía",9120,"Villarrica",59103,17,NA,2020-04-23,0.56,0.72
"226","Araucanía",9120,"Villarrica",59103,18,NA,2020-04-30,0.26,0.71
"227","Araucanía",9120,"Villarrica",59103,19,1,2020-05-07,0.65,0.63
"228","Araucanía",9120,"Villarrica",59103,20,1,2020-05-14,0.61,0.49
"229","Araucanía",9120,"Villarrica",59103,21,1,2020-05-21,0.78,0.37
"230","Araucanía",9120,"Villarrica",59103,22,0.83,2020-05-28,0.55,0.29
"231","Araucanía",9120,"Villarrica",59103,23,0.5,2020-06-04,0.66,0.3
"232","Araucanía",9120,"Villarrica",59103,24,0.75,2020-06-11,0.65,0.26
"233","Araucanía",9121,"Cholchol",12341,17,NA,2020-04-23,0.56,0.72
"234","Araucanía",9121,"Cholchol",12341,18,NA,2020-04-30,0.26,0.71
"235","Araucanía",9121,"Cholchol",12341,19,NA,2020-05-07,0.65,0.63
"236","Araucanía",9121,"Cholchol",12341,20,NA,2020-05-14,0.61,0.49
"237","Araucanía",9121,"Cholchol",12341,21,NA,2020-05-21,0.78,0.37
"238","Araucanía",9121,"Cholchol",12341,22,1,2020-05-28,0.55,0.29
"239","Araucanía",9121,"Cholchol",12341,23,0.5,2020-06-04,0.66,0.3
"240","Araucanía",9121,"Cholchol",12341,24,NA,2020-06-11,0.65,0.26
"241","Araucanía",9201,"Angol",56058,17,0.6,2020-04-23,0.56,0.72
"242","Araucanía",9201,"Angol",56058,18,0.5,2020-04-30,0.26,0.71
"243","Araucanía",9201,"Angol",56058,19,0.5,2020-05-07,0.65,0.63
"244","Araucanía",9201,"Angol",56058,20,0,2020-05-14,0.61,0.49
"245","Araucanía",9201,"Angol",56058,21,0.82,2020-05-21,0.78,0.37
"246","Araucanía",9201,"Angol",56058,22,0.25,2020-05-28,0.55,0.29
"247","Araucanía",9201,"Angol",56058,23,0.62,2020-06-04,0.66,0.3
"248","Araucanía",9201,"Angol",56058,24,0.61,2020-06-11,0.65,0.26
"249","Araucanía",9202,"Collipulli",26148,17,1,2020-04-23,0.56,0.72
"250","Araucanía",9202,"Collipulli",26148,18,NA,2020-04-30,0.26,0.71
"251","Araucanía",9202,"Collipulli",26148,19,NA,2020-05-07,0.65,0.63
"252","Araucanía",9202,"Collipulli",26148,20,0,2020-05-14,0.61,0.49
"253","Araucanía",9202,"Collipulli",26148,21,0.5,2020-05-21,0.78,0.37
"254","Araucanía",9202,"Collipulli",26148,22,0.67,2020-05-28,0.55,0.29
"255","Araucanía",9202,"Collipulli",26148,23,1,2020-06-04,0.66,0.3
"256","Araucanía",9202,"Collipulli",26148,24,0.67,2020-06-11,0.65,0.26
"257","Araucanía",9203,"Curacautin",18178,17,NA,2020-04-23,0.56,0.72
"258","Araucanía",9203,"Curacautin",18178,18,0,2020-04-30,0.26,0.71
