"","date","comuna","region","codigo_comuna","n"
"146",2020-03-16,"La Reina","Metropolitana",13113,0
"147",2020-03-16,"La Serena","Coquimbo",4101,0
"148",2020-03-16,"La Union","Los Rios",14201,0
"149",2020-03-16,"Lago Ranco","Los Rios",14203,0
"150",2020-03-16,"Lago Verde","Aysen",11102,0
"151",2020-03-16,"Laguna Blanca","Magallanes y la Antartica",12102,0
"152",2020-03-16,"Laja","Biobio",8304,0
"153",2020-03-16,"Lampa","Metropolitana",13302,0
"154",2020-03-16,"Lanco","Los Rios",14103,0
"155",2020-03-16,"Las Cabras","Del Libertador General Bernardo O’Higgins",6107,0
"156",2020-03-16,"Las Condes","Metropolitana",13114,0
"157",2020-03-16,"Lautaro","La Araucania",9108,0
"158",2020-03-16,"Lebu","Biobio",8201,0
"159",2020-03-16,"Licanten","Maule",7303,0
"160",2020-03-16,"Limache","Valparaiso",5802,0
"161",2020-03-16,"Linares","Maule",7401,0
"162",2020-03-16,"Litueche","Del Libertador General Bernardo O’Higgins",6203,0
"163",2020-03-16,"Llaillay","Valparaiso",5703,0
"164",2020-03-16,"Llanquihue","Los Lagos",10107,0
"165",2020-03-16,"Lo Barnechea","Metropolitana",13115,0
"166",2020-03-16,"Lo Espejo","Metropolitana",13116,0
"167",2020-03-16,"Lo Prado","Metropolitana",13117,0
"168",2020-03-16,"Lolol","Del Libertador General Bernardo O’Higgins",6304,0
"169",2020-03-16,"Loncoche","La Araucania",9109,0
"170",2020-03-16,"Longavi","Maule",7403,0
"171",2020-03-16,"Lonquimay","La Araucania",9205,0
"172",2020-03-16,"Los Alamos","Biobio",8206,0
"173",2020-03-16,"Los Andes","Valparaiso",5301,0
"174",2020-03-16,"Los Angeles","Biobio",8301,0
"175",2020-03-16,"Los Lagos","Los Rios",14104,0
"176",2020-03-16,"Los Muermos","Los Lagos",10106,0
"177",2020-03-16,"Los Sauces","La Araucania",9206,0
"178",2020-03-16,"Los Vilos","Coquimbo",4203,0
"179",2020-03-16,"Lota","Biobio",8106,0
"180",2020-03-16,"Lumaco","La Araucania",9207,0
"181",2020-03-16,"Machali","Del Libertador General Bernardo O’Higgins",6108,0
"182",2020-03-16,"Macul","Metropolitana",13118,0
"183",2020-03-16,"Mafil","Los Rios",14105,0
"184",2020-03-16,"Maipu","Metropolitana",13119,0
"185",2020-03-16,"Malloa","Del Libertador General Bernardo O’Higgins",6109,0
"186",2020-03-16,"Marchihue","Del Libertador General Bernardo O’Higgins",6204,0
"187",2020-03-16,"Maria Elena","Antofagasta",2302,0
"188",2020-03-16,"Maria Pinto","Metropolitana",13504,0
"189",2020-03-16,"Mariquina","Los Rios",14106,0
"190",2020-03-16,"Maule","Maule",7105,0
"191",2020-03-16,"Maullin","Los Lagos",10108,0
"192",2020-03-16,"Mejillones","Antofagasta",2102,0
"193",2020-03-16,"Melipeuco","La Araucania",9110,0
"194",2020-03-16,"Melipilla","Metropolitana",13501,0
"195",2020-03-16,"Molina","Maule",7304,0
"196",2020-03-16,"Monte Patria","Coquimbo",4303,0
"197",2020-03-16,"Mostazal","Del Libertador General Bernardo O’Higgins",6110,0
"198",2020-03-16,"Mulchen","Biobio",8305,0
"199",2020-03-16,"Nacimiento","Biobio",8306,0
"200",2020-03-16,"Nancagua","Del Libertador General Bernardo O’Higgins",6305,0
"201",2020-03-16,"Natales","Magallanes y la Antartica",12401,0
"202",2020-03-16,"Navidad","Del Libertador General Bernardo O’Higgins",6205,0
"203",2020-03-16,"Negrete","Biobio",8307,0
"204",2020-03-16,"Ninhue","Nuble",16204,0
"205",2020-03-16,"Niquen","Nuble",16303,0
"206",2020-03-16,"Nogales","Valparaiso",5506,0
"207",2020-03-16,"Nueva Imperial","La Araucania",9111,0
"208",2020-03-16,"Nunoa","Metropolitana",13120,0
"209",2020-03-16,"OHiggins","Aysen",11302,0
"210",2020-03-16,"Olivar","Del Libertador General Bernardo O’Higgins",6111,0
"211",2020-03-16,"Ollague","Antofagasta",2202,0
"212",2020-03-16,"Olmue","Valparaiso",5803,0
"213",2020-03-16,"Osorno","Los Lagos",10301,0
"214",2020-03-16,"Ovalle","Coquimbo",4301,0
"215",2020-03-16,"Padre Hurtado","Metropolitana",13604,0
"216",2020-03-16,"Padre Las Casas","La Araucania",9112,0
"217",2020-03-16,"Paiguano","Coquimbo",4105,0
"218",2020-03-16,"Paillaco","Los Rios",14107,0
"219",2020-03-16,"Paine","Metropolitana",13404,0
"220",2020-03-16,"Palena","Los Lagos",10404,0
"221",2020-03-16,"Palmilla","Del Libertador General Bernardo O’Higgins",6306,0
"222",2020-03-16,"Panguipulli","Los Rios",14108,0
"223",2020-03-16,"Panquehue","Valparaiso",5704,0
"224",2020-03-16,"Papudo","Valparaiso",5403,0
"225",2020-03-16,"Paredones","Del Libertador General Bernardo O’Higgins",6206,0
"226",2020-03-16,"Parral","Maule",7404,0
"227",2020-03-16,"Pedro Aguirre Cerda","Metropolitana",13121,0
"228",2020-03-16,"Pelarco","Maule",7106,0
"229",2020-03-16,"Pelluhue","Maule",7203,0
"230",2020-03-16,"Pemuco","Nuble",16105,0
"231",2020-03-16,"Penaflor","Metropolitana",13605,0
"232",2020-03-16,"Penalolen","Metropolitana",13122,0
"233",2020-03-16,"Pencahue","Maule",7107,0
"234",2020-03-16,"Penco","Biobio",8107,0
"235",2020-03-16,"Peralillo","Del Libertador General Bernardo O’Higgins",6307,0
"236",2020-03-16,"Perquenco","La Araucania",9113,0
"237",2020-03-16,"Petorca","Valparaiso",5404,0
"238",2020-03-16,"Peumo","Del Libertador General Bernardo O’Higgins",6112,0
"239",2020-03-16,"Pica","Tarapaca",1405,0
"240",2020-03-16,"Pichidegua","Del Libertador General Bernardo O’Higgins",6113,0
"241",2020-03-16,"Pichilemu","Del Libertador General Bernardo O’Higgins",6201,0
"242",2020-03-16,"Pinto","Nuble",16106,0
"243",2020-03-16,"Pirque","Metropolitana",13202,0
"244",2020-03-16,"Pitrufquen","La Araucania",9114,0
"245",2020-03-16,"Placilla","Del Libertador General Bernardo O’Higgins",6308,0
"246",2020-03-16,"Portezuelo","Nuble",16205,0
"247",2020-03-16,"Porvenir","Magallanes y la Antartica",12301,0
"248",2020-03-16,"Pozo Almonte","Tarapaca",1401,0
"249",2020-03-16,"Primavera","Magallanes y la Antartica",12302,0
"250",2020-03-16,"Providencia","Metropolitana",13123,0
"251",2020-03-16,"Puchuncavi","Valparaiso",5105,0
"252",2020-03-16,"Pucon","La Araucania",9115,0
