"","comuna","region","codigo_comuna","oportunidad_comuna","oportunidad_region","oportunidad_pais","semana","dia"
"228","Penaflor","Metropolitana",13605,NA,NA,NA,16,2020-04-15
"229","Penalolen","Metropolitana",13122,NA,NA,NA,16,2020-04-15
"230","Pirque","Metropolitana",13202,NA,NA,NA,16,2020-04-15
"231","Providencia","Metropolitana",13123,NA,NA,NA,16,2020-04-15
"232","Pudahuel","Metropolitana",13124,NA,NA,NA,16,2020-04-15
"233","Puente Alto","Metropolitana",13201,NA,NA,NA,16,2020-04-15
"234","Quilicura","Metropolitana",13125,NA,NA,NA,16,2020-04-15
"235","Quinta Normal","Metropolitana",13126,NA,NA,NA,16,2020-04-15
"236","Recoleta","Metropolitana",13127,NA,NA,NA,16,2020-04-15
"237","Renca","Metropolitana",13128,NA,NA,NA,16,2020-04-15
"238","San Bernardo","Metropolitana",13401,NA,NA,NA,16,2020-04-15
"239","San Joaquin","Metropolitana",13129,NA,NA,NA,16,2020-04-15
"240","San Jose de Maipo","Metropolitana",13203,NA,NA,NA,16,2020-04-15
"241","San Miguel","Metropolitana",13130,NA,NA,NA,16,2020-04-15
"242","San Pedro","Metropolitana",13505,NA,NA,NA,16,2020-04-15
"243","San Ramon","Metropolitana",13131,NA,NA,NA,16,2020-04-15
"244","Santiago","Metropolitana",13101,NA,NA,NA,16,2020-04-15
"245","Talagante","Metropolitana",13601,NA,NA,NA,16,2020-04-15
"246","Tiltil","Metropolitana",13303,NA,NA,NA,16,2020-04-15
"247","Vitacura","Metropolitana",13132,NA,NA,NA,16,2020-04-15
"248","Chepica","O’Higgins",6302,NA,NA,NA,16,2020-04-15
"249","Chimbarongo","O’Higgins",6303,NA,NA,NA,16,2020-04-15
"250","Codegua","O’Higgins",6102,NA,NA,NA,16,2020-04-15
"251","Coinco","O’Higgins",6103,NA,NA,NA,16,2020-04-15
"252","Coltauco","O’Higgins",6104,NA,NA,NA,16,2020-04-15
"253","Donihue","O’Higgins",6105,NA,NA,NA,16,2020-04-15
"254","Graneros","O’Higgins",6106,NA,NA,NA,16,2020-04-15
"255","La Estrella","O’Higgins",6202,NA,NA,NA,16,2020-04-15
"256","Las Cabras","O’Higgins",6107,NA,NA,NA,16,2020-04-15
"257","Litueche","O’Higgins",6203,NA,NA,NA,16,2020-04-15
"258","Lolol","O’Higgins",6304,NA,NA,NA,16,2020-04-15
"259","Machali","O’Higgins",6108,NA,NA,NA,16,2020-04-15
"260","Malloa","O’Higgins",6109,NA,NA,NA,16,2020-04-15
"261","Marchihue","O’Higgins",6204,NA,NA,NA,16,2020-04-15
"262","Mostazal","O’Higgins",6110,NA,NA,NA,16,2020-04-15
"263","Nancagua","O’Higgins",6305,NA,NA,NA,16,2020-04-15
"264","Navidad","O’Higgins",6205,NA,NA,NA,16,2020-04-15
"265","Olivar","O’Higgins",6111,NA,NA,NA,16,2020-04-15
"266","Palmilla","O’Higgins",6306,NA,NA,NA,16,2020-04-15
"267","Paredones","O’Higgins",6206,NA,NA,NA,16,2020-04-15
"268","Peralillo","O’Higgins",6307,NA,NA,NA,16,2020-04-15
"269","Peumo","O’Higgins",6112,NA,NA,NA,16,2020-04-15
"270","Pichidegua","O’Higgins",6113,NA,NA,NA,16,2020-04-15
"271","Pichilemu","O’Higgins",6201,NA,NA,NA,16,2020-04-15
"272","Placilla","O’Higgins",6308,NA,NA,NA,16,2020-04-15
"273","Pumanque","O’Higgins",6309,NA,NA,NA,16,2020-04-15
"274","Quinta de Tilcoco","O’Higgins",6114,NA,NA,NA,16,2020-04-15
"275","Rancagua","O’Higgins",6101,NA,NA,NA,16,2020-04-15
"276","Rengo","O’Higgins",6115,NA,NA,NA,16,2020-04-15
"277","Requinoa","O’Higgins",6116,NA,NA,NA,16,2020-04-15
"278","San Fernando","O’Higgins",6301,NA,NA,NA,16,2020-04-15
"279","San Vicente","O’Higgins",6117,NA,NA,NA,16,2020-04-15
"280","Santa Cruz","O’Higgins",6310,NA,NA,NA,16,2020-04-15
"281","Alto Hospicio","Tarapacá",1107,NA,NA,NA,16,2020-04-15
"282","Camina","Tarapacá",1402,NA,NA,NA,16,2020-04-15
"283","Colchane","Tarapacá",1403,NA,NA,NA,16,2020-04-15
"284","Huara","Tarapacá",1404,NA,NA,NA,16,2020-04-15
"285","Iquique","Tarapacá",1101,NA,NA,NA,16,2020-04-15
"286","Pica","Tarapacá",1405,NA,NA,NA,16,2020-04-15
"287","Pozo Almonte","Tarapacá",1401,NA,NA,NA,16,2020-04-15
"288","Algarrobo","Valparaíso",5602,NA,NA,NA,16,2020-04-15
"289","Cabildo","Valparaíso",5402,NA,NA,NA,16,2020-04-15
"290","Calera","Valparaíso",5502,NA,NA,NA,16,2020-04-15
"291","Calle Larga","Valparaíso",5302,NA,NA,NA,16,2020-04-15
"292","Cartagena","Valparaíso",5603,NA,NA,NA,16,2020-04-15
